Tick,AgentID,Archetype,Karma,Alignment,Enlightenment,SoulAge,CauseOfDeath,Age,LifeEvents
30,8,Warrior,56,0,0,1,injury,30,"Born as Warrior (Gen 0)"
30,10,Builder,56,0,0,1,injury,30,"Born as Builder (Gen 0)"
30,16,Warrior,50,0.06,0,1,injury,30,"Born as Warrior (Gen 0)"
30,17,Thinker,56,0,0,1,injury,30,"Born as Thinker (Gen 0)"
43,13,Explorer,16,0,0,1,injury,43,"Born as Explorer (Gen 0)"
44,14,Healer,106,1,0.2,1,injury,44,"Born as Healer (Gen 0)"
45,19,Warrior,8,0.04,0.4,1,injury,45,"Born as Warrior (Gen 0) | Had child #1"
51,1,Warrior,2,0,0,1,injury,51,"Born as Warrior (Gen 0)"
51,4,Builder,2,0,0,1,injury,51,"Born as Builder (Gen 0)"
53,6,Prophet,-3,-0.05,0,1,injury,53,"Born as Prophet (Gen 0)"
58,15,Warrior,52,0.04,0.4,1,injury,58,"Born as Warrior (Gen 0) | Built a shelter | Built a shelter | Had child #1"
59,12,Prophet,4,0,0,1,injury,59,"Born as Prophet (Gen 0)"
62,7,Warrior,-1,-0.05,0,1,injury,62,"Born as Warrior (Gen 0)"
63,11,Warrior,59,0.46,0,1,injury,63,"Born as Warrior (Gen 0) | Built a shelter | Had child #1"
70,23,Explorer,43.6,0.008,0.04,1,injury,33,"Born as Explorer (Gen 1), child of Agent 15"
72,5,Warrior,10,0.08,0.2,1,injury,72,"Born as Warrior (Gen 0)"
77,2,Warrior,13,0.09,0,1,injury,77,"Born as Warrior (Gen 0)"
77,20,Thinker,-1,-0.06,0.4,1,injury,77,"Born as Thinker (Gen 0) | Founded tribe 'Ironhunters'"
78,21,Explorer,5.6,0.038,0.24,1,injury,56,"Born as Explorer (Gen 1), child of Agent 19"
91,3,Warrior,40,0.06,0,1,injury,91,"Born as Warrior (Gen 0) | Built a shelter | Built a shelter"
91,9,Prophet,15,0.09,0,1,injury,91,"Born as Prophet (Gen 0)"
99,18,Prophet,16,0.03,0,1,injury,99,"Born as Prophet (Gen 0) | Built a shelter"
